,brand,mod,prc,sat,prefBrand,prefMod,prefPrc,st,ResMem,ResPric,ResStorage,ResOS,ResBrand,ResPub,ResScrRes,ResRefRate,ResScrSize,ResBattery,ResOther
8,Apple,12,8000,1,other,0,,10,1,0,0,0,0,0,1,0,0,1,
9,Apple,iphonex,9000买的时候,2,Apple,iphone12,,4,1,0,0,0,0,0,0,0,0,1,
10,Apple,iPhone12,8999,1,Apple,iPhone12 pro max,,10,1,1,1,1,1,1,1,1,1,1,
11,Apple,7plus,(空),3,Apple,iphone 8,,4,1,0,1,0,0,0,1,0,0,1,
12,Apple,iPhone6,不知道,2,other,0,,2,1,0,1,1,0,0,1,0,0,1,
13,Apple,苹果11,(空),2,Apple,iphone12pro,,2,1,0,1,1,0,0,1,1,1,1,
14,Apple,iPhone11,(空),3,Apple,iphone12,,5,0,0,0,1,0,0,0,0,0,1,
15,Apple,iPhone X,买的时候大概10000左右,2,Apple,Apple iPhone 12 Pro Max 512G,,1,1,1,1,1,0,0,1,1,1,1,
16,Apple,iPhone8plus,当时8000 现在大概低一点,3,Apple,苹果最新款256gb,,2,1,1,1,1,1,0,1,1,1,1,
17,Apple,iPhone 11 Pro max,(空),2,Apple,iPhone xs I think I can’t remember,,2,1,0,1,0,0,0,0,0,1,0,
18,Apple,13,12000,1,Apple,iPhone14,,10,1,0,1,1,1,0,1,1,1,1,
19,Apple,iPhone 7,(空),1,Apple,iPhone 7,,7,1,1,0,1,1,0,1,0,1,1,
20,Apple,iphone 12,9000,5,Apple,iPhone 12 pro max,,10,1,1,1,1,1,1,1,1,1,1,
